tweet id	author id
1.4374E+18	1.43017E+18
1.24461E+18	1.15576E+18
1.32811E+18	8.91059E+17
1.58149E+18	1486860306
1.282E+18	1.24925E+18
1.35704E+18	1.15306E+18
1.24541E+18	1.0652E+18
1.37874E+18	734139126
1.40169E+18	8.68056E+17
1.30123E+18	1286704514
1.36381E+18	1.04381E+18
1.29502E+18	613795475
1.27548E+18	317867859
1.25446E+18	1.0652E+18
1.41596E+18	2198299024
1.30954E+18	7.73661E+17
1.3096E+18	9.90933E+17
1.24826E+18	277960897
1.34644E+18	34544542
1.36747E+18	4539315017
1.23905E+18	7.42694E+17
1.2851E+18	1.15332E+18
1.26849E+18	9.97148E+17
1.28742E+18	2547827340
1.43963E+18	1.29253E+18
1.24546E+18	434015895
1.46529E+18	1.17149E+18
1.28704E+18	1.25411E+18
1.29347E+18	1.06702E+18
1.24327E+18	464922285
1.2928E+18	302624914
1.24928E+18	1.24253E+18
1.32612E+18	279004227
1.41466E+18	1.38494E+18
1.2408E+18	114251189
1.27683E+18	263850314
1.37231E+18	7.37706E+17
1.31254E+18	1.01878E+18
1.22424E+18	1.21484E+18
1.24925E+18	3363833139
1.26134E+18	114251189
1.39446E+18	549906364
1.27082E+18	1875593029
1.26823E+18	1.25993E+18
1.28243E+18	1534103677
1.46212E+18	3032835180
1.55599E+18	8.27611E+17
1.25194E+18	269995958
1.24631E+18	1.16163E+18
1.24202E+18	1148718326
1.36316E+18	3432757300
1.35334E+18	7.57508E+17
1.27093E+18	1.01878E+18
1.31384E+18	1900232251
1.2518E+18	119756265
1.45237E+18	629527663
1.23855E+18	119756265
1.36381E+18	2991389730
1.2519E+18	386614618
1.48524E+18	1.47948E+18
1.25983E+18	2256678577
1.23838E+18	2178452943
1.3668E+18	1.166E+18
1.24962E+18	2333625117
1.39671E+18	1.19193E+18
1.26682E+18	270262107
1.24722E+18	2959134180
1.36347E+18	797587002
1.38602E+18	3032835180
1.38562E+18	196517825
1.39774E+18	2720641844
1.36936E+18	2608326001
1.44758E+18	1.24862E+18
1.24901E+18	1.10252E+18
1.27231E+18	9.76503E+17
1.29294E+18	9.47221E+17
1.42258E+18	1321331874
1.24E+18	279004227
1.24356E+18	4205304493
1.28118E+18	488757233
1.23259E+18	318420357
1.45117E+18	605326535
1.44546E+18	281711276
1.24999E+18	363778178
1.24474E+18	729699660
1.40975E+18	2187854426
1.31974E+18	1473224857
1.29786E+18	7.3798E+17
1.23852E+18	410088425
1.24785E+18	1.06702E+18
1.37144E+18	156887584
1.27399E+18	1.10593E+18
1.48454E+18	1.17149E+18
1.23812E+18	8.38176E+17
1.47913E+18	1.45076E+18
1.27407E+18	237204868
1.27979E+18	374928156
1.44464E+18	322274345
1.27586E+18	9.07207E+17
1.25454E+18	167761433
1.48886E+18	1450994419
1.25257E+18	1580218088
1.30472E+18	1.05794E+18
1.28342E+18	2256678577
1.26088E+18	90138861
1.25003E+18	9.80182E+17
1.26898E+18	1.02591E+18
1.2507E+18	53019445
1.29427E+18	1.24362E+18
1.24595E+18	490315331
1.24248E+18	243838642
1.26826E+18	279004227
1.24389E+18	1.22877E+18
1.34539E+18	187142863
1.24541E+18	1.23592E+18
1.35916E+18	1076999186
1.2768E+18	286257175
1.26529E+18	2779589447
1.23907E+18	522964971
1.2426E+18	450750858
1.29743E+18	446525289
1.26577E+18	541430454
1.49121E+18	1.41764E+18
1.33122E+18	1.14053E+18
1.39106E+18	626382752
1.24134E+18	4588097543
1.24862E+18	114251189
1.24557E+18	1.21311E+18
1.24004E+18	353913753
1.27771E+18	1.07203E+18
1.23549E+18	1.15431E+18
1.24525E+18	131118286
1.48056E+18	150972583
1.34495E+18	410955818
1.36069E+18	4499107457
1.24381E+18	473699258
1.25402E+18	587300825
1.24067E+18	723870571
1.25815E+18	4031574917
1.25002E+18	247288397
1.38563E+18	7.77222E+17
1.2493E+18	3139095096
1.24959E+18	1680109357
1.24425E+18	2388957656
1.31165E+18	401807672
1.25664E+18	109191275
1.24006E+18	496851161
1.27598E+18	143531181
1.26813E+18	2256678577
1.27097E+18	278934052
1.31016E+18	1006113636
1.28121E+18	365581224
1.25014E+18	119756265
1.24766E+18	849956798
1.25996E+18	1.16163E+18
1.25765E+18	1094742679
1.33185E+18	1.21574E+18
1.24739E+18	1680109357
1.23838E+18	2801243933
1.252E+18	3879047903
1.56685E+18	9.40325E+17
1.39353E+18	199595348
1.2506E+18	8.05693E+17
1.25443E+18	483377590
1.31097E+18	408287397
1.24036E+18	1.17169E+18
1.24705E+18	9.72581E+17
