tweet id	label	author id	created_at	lang	like_count	quote_count	reply_count	retweet_count	user_verified	followers_count	following_count	tweet_count	listed_count	user_created_at
1.4374E+18	neutral	1.43017E+18	2021-09-13 13:03:40+00:00	ar	0	0	0	1	FALSE	1	0	1707	0	2021-08-24T14:10:47.000Z
1.24461E+18	neutral	1.15576E+18	2020-03-30 12:46:36+00:00	ar	2	0	0	3	FALSE	60	118	460	0	2019-07-29T08:49:30.000Z
1.32811E+18	negative	8.91059E+17	2020-11-15 22:59:55+00:00	ar	16	0	0	1	FALSE	1177	1680	237	0	2017-07-28T22:14:13.000Z
1.58149E+18	negative	1486860306	2022-10-16 03:30:54+00:00	ar	66	6	3	12	FALSE	6430	292	78684	108	2013-06-06T05:12:21.000Z
1.282E+18	neutral	1.24925E+18	2020-07-11 17:24:51+00:00	ar	0	0	0	0	FALSE	6011	3	21457	6	2020-04-12T08:18:23.000Z
1.35704E+18	positive	1.15306E+18	2021-02-03 18:56:37+00:00	ar	60	1	5	5	FALSE	14011	90	25534	22	2019-07-21T21:38:19.000Z
1.24541E+18	neutral	1.0652E+18	2020-04-01 18:15:08+00:00	ar	0	0	0	0	FALSE	2663	0	101649	24	2018-11-21T11:10:51.000Z
1.37874E+18	neutral	734139126	2021-04-04 16:01:33+00:00	ar	0	0	0	0	FALSE	17959	0	93502	28	2012-08-03T04:16:39.000Z
1.40169E+18	neutral	8.68056E+17	2021-06-06 23:43:41+00:00	ar	5	0	0	1	TRUE	76552	5	3870	211	2017-05-26T10:47:54.000Z
1.30123E+18	neutral	1286704514	2020-09-02 18:29:58+00:00	ar	1	0	0	0	FALSE	53	252	144	0	2013-03-21T18:59:19.000Z
1.36381E+18	neutral	1.04381E+18	2021-02-22 11:31:02+00:00	ar	0	0	0	0	FALSE	11	7	1890	0	2018-09-23T10:45:22.000Z
1.29502E+18	neutral	613795475	2020-08-16 15:48:26+00:00	ar	14	0	0	15	FALSE	8419	286	5478	15	2012-06-20T22:06:22.000Z
1.27548E+18	positive	317867859	2020-06-23 17:08:12+00:00	ar	0	0	1	0	FALSE	272	408	1121	0	2011-06-15T16:09:06.000Z
1.25446E+18	neutral	1.0652E+18	2020-04-26 17:22:20+00:00	ar	0	0	0	0	FALSE	2666	3	100787	24	2018-11-21T11:10:51.000Z
1.41596E+18	positive	2198299024	2021-07-16 08:54:47+00:00	ar	1	0	0	0	FALSE	966	864	17849	0	2013-11-27T19:16:26.000Z
1.30954E+18	neutral	7.73661E+17	2020-09-25 17:23:33+00:00	ar	0	0	0	0	FALSE	129	516	4891	0	2016-09-07T23:15:19.000Z
1.3096E+18	neutral	9.90933E+17	2020-09-25 21:19:07+00:00	ar	2	0	0	3	FALSE	476	53	9293	11	2018-04-30T12:38:11.000Z
1.24826E+18	negative	277960897	2020-04-09 14:25:26+00:00	ar	1	0	0	1	FALSE	1527	478	29729	5	2011-04-06T09:52:19.000Z
1.34644E+18	neutral	34544542	2021-01-05 13:06:48+00:00	ar	23	0	0	8	FALSE	1626	1301	535	9	2009-04-23T05:34:48.000Z
1.36747E+18	neutral	4539315017	2021-03-04 13:31:56+00:00	ar	1	0	0	0	FALSE	26070	0	32803	30	2015-12-19T21:18:48.000Z
1.23905E+18	neutral	7.42694E+17	2020-03-15 04:25:58+00:00	ar	5	0	0	1	FALSE	17336	5	201624	33	2016-06-14T12:23:55.000Z
1.2851E+18	neutral	1.15332E+18	2020-07-20 06:23:27+00:00	ar	0	0	0	0	FALSE	3806	35	49107	7	2019-07-22T15:18:04.000Z
1.26849E+18	neutral	9.97148E+17	2020-06-04 10:36:14+00:00	ar	0	0	0	0	FALSE	2614	5	2630	5	2018-05-17T16:14:24.000Z
1.28742E+18	neutral	2547827340	2020-07-26 16:04:03+00:00	ar	3	0	1	1	TRUE	413598	5	417684	721	2014-06-05T10:13:19.000Z
1.43963E+18	neutral	1.29253E+18	2021-09-19 16:31:27+00:00	ar	0	0	0	0	FALSE	26515	3	21180	61	2020-08-09T18:43:03.000Z
1.24546E+18	neutral	434015895	2020-04-01 21:27:53+00:00	ar	5	0	1	0	TRUE	576174	1482	450798	725	2011-12-11T09:29:46.000Z
1.46529E+18	neutral	1.17149E+18	2021-11-29 12:10:05+00:00	ar	0	0	0	0	FALSE	16117	5124	61241	21	2019-09-10T18:22:13.000Z
1.28704E+18	neutral	1.25411E+18	2020-07-25 15:11:42+00:00	ar	0	0	0	0	FALSE	24	121	808	0	2020-04-25T17:56:59.000Z
1.29347E+18	neutral	1.06702E+18	2020-08-12 08:35:39+00:00	ar	0	0	0	0	FALSE	6012	277	49592	68	2018-11-26T11:49:33.000Z
1.24327E+18	neutral	464922285	2020-03-26 20:06:46+00:00	ar	1	0	2	0	FALSE	10554	5402	30102	7	2012-01-15T19:30:21.000Z
1.2928E+18	neutral	302624914	2020-08-10 12:12:15+00:00	ar	12	0	8	7	FALSE	1287535	3	245699	1934	2011-05-21T13:59:41.000Z
1.24928E+18	neutral	1.24253E+18	2020-04-12 10:15:57+00:00	ar	36	0	2	18	FALSE	812	10	147	2	2020-03-24T19:05:02.000Z
